a-lost-battalion-of-platonic-conversationalists-jumping-down-the-stoops-off-fire-escapes-off-windowsills-off-empire-state-out-of-the-moon,1
ah-carl-while-you-are-not-safe-i-am-not-safe-and-now-you’re-really-in-the-total-animal-soup-of-time—,1
and-rose-reincarnate-in-the-ghostly-clothes-of-jazz-in-the-goldhorn-shadow-of-the-band-and-blew-the-suffering-of-america’s-naked-mind-for-love-into-an-eli-eli-lamma-lamma-sabacthani-saxophone-cry-that-shivered-the-cities-down-to-the-last-radio,1
and-who-therefore-ran-through-the-icy-streets-obsessed-with-a-sudden-flash-of-the-alchemy-of-the-use-of-the-ellipsis-catalogue-a-variable-measure-and-the-vibrating-plane,1
and-who-were-given-instead-the-concrete-void-of-insulin-metrazol-electricity-hydrotherapy-psychotherapy-occupational-therapy-pingpong--amnesia,1
angelheaded-hipsters-burning-for-the-ancient-heavenly-connection-to-the-starry-dynamo-in-the-machinery-of-night,1
breakthroughs-over-the-river-flips-and-crucifixions-gone-down-the-flood-highs-epiphanies-despairs-ten-years’-animal-screams-and-suicides-minds-new-loves-mad-generation-down-on-the-rocks-of-time,1
carl-solomon-i’m-with-you-in-rockland,1
dragging-themselves-through-the-negro-streets-at-dawn-looking-for-an-angry-fix,1
dreams-adorations-illuminations-religions-the-whole-boatload-of-sensitive-bullshit,1
i-saw-the-best-minds-of-my-generation-destroyed-by-madness-starving-hysterical-naked,1
in-my-dreams-you-walk-dripping-from-a-seajourney-on-the-highway-across-america-in-tears-to-the-door-of-my-cottage-in-the-western-night,1
incomparable-blind-streets-of-shuddering-cloud-and-lightning-in-the-mind-leaping-toward-poles-of-canada--paterson-illuminating-all-the-motionless-world-of-time-between,1
im-with-you-in-rockland,18
moloch-in-whom-i-sit-lonely-moloch-in-whom-i-dream-angels-crazy-in-moloch-cocksucker-in-moloch-lacklove-and-manless-in-moloch,1
moloch-moloch-nightmare-of-moloch-moloch-the-loveless-mental-moloch-moloch-the-heavy-judger-of-men,1
moloch-moloch-robot-apartments-invisible-suburbs-skeleton-treasuries-blind-capitals-demonic-industries-spectral-nations-invincible-madhouses-granite-cocks-monstrous-bombs,1
moloch-solitude-filth-ugliness-ashcans-and-unobtainable-dollars-children-screaming-under-the-stairways-boys-sobbing-in-armies-old-men-weeping-in-the-parks,1
moloch-the-incomprehensible-prison-moloch-the-crossbone-soulless-jailhouse-and-congress-of-sorrows-moloch-whose-buildings-are-judgment-moloch-the-vast-stone-of-war-moloch-the-stunned-governments,1
moloch-who-entered-my-soul-early-moloch-in-whom-i-am-a-consciousness-without-a-body-moloch-who-frightened-me-out-of-my-natural-ecstasy-moloch-whom-i-abandon-wake-up-in-moloch-light-streaming-out-of-the-sky,1
moloch-whose-eyes-are-a-thousand-blind-windows-moloch-whose-skyscrapers-stand-in-the-long-streets-like-endless-jehovahs-moloch-whose-factories-dream-and-croak-in-the-fog-moloch-whose-smokestacks-and-antennae-crown-the-cities,1
moloch-whose-love-is-endless-oil-and-stone-moloch-whose-soul-is-electricity-and-banks-moloch-whose-poverty-is-the-specter-of-genius-moloch-whose-fate-is-a-cloud-of-sexless-hydrogen-moloch-whose-name-is-the-mind,1
moloch-whose-mind-is-pure-machinery-moloch-whose-blood-is-running-money-moloch-whose-fingers-are-ten-armies-moloch-whose-breast-is-a-cannibal-dynamo-moloch-whose-ear-is-a-smoking-tomb,1
peyote-solidities-of-halls-backyard-green-tree-cemetery-dawns-wine-drunkenness-over-the-rooftops-storefront-boroughs-of-teahead-joyride-neon-blinking-traffic-light-sun-and-moon-and-tree-vibrations-in-the-roaring-winter-dusks-of-brooklyn-ashcan-rantings-and-kind-king-light-of-mind,1
pilgrim-state’s-rockland’s-and-greystone’s-foetid-halls-bickering-with-the-echoes-of-the-soul-rocking-and-rolling-in-the-midnight-solitudebench-dolmenrealms-of-love-dream-of-life-a-nightmare-bodies-turned-to-stone-as-heavy-as-the-moon,1
real-holy-laughter-in-the-river-they-saw-it-all-the-wild-eyes-the-holy-yells-they-bade-farewell-they-jumped-off-the-roof-to-solitude-waving-carrying-flowers-down-to-the-river-into-the-street,1
returning-years-later-truly-bald-except-for-a-wig-of-blood-and-tears-and-fingers-to-the-visible-madman-doom-of-the-wards-of-the-madtowns-of-the-east,1
suffering-eastern-sweats-and-tangerian-bonegrindings-and-migraines-of-china-under-junkwithdrawal-in-newark’s-bleak-furnished-room,1
the-madman-bum-and-angel-beat-in-time-unknown-yet-putting-down-here-what-might-be-left-to-say-in-time-come-after-death,1
they-broke-their-backs-lifting-moloch-to-heaven-pavements-trees-radios-tons-lifting-the-city-to-heaven-which-exists-and-is-everywhere-about-us,1
to-recreate-the-syntax-and-measure-of-poor-human-prose-and-stand-before-you-speechless-and-intelligent-and-shaking-with-shame-rejected-yet-confessing-out-the-soul-to-conform-to-the-rhythm-of-thought-in-his-naked-and-endless-head,1
visions-omens-hallucinations-miracles-ecstasies-gone-down-the-american-river,1
what-sphinx-of-cement-and-aluminum-bashed-open-their-skulls-and-ate-up-their-brains-and-imagination,1
